Host,DateTime,Seconds,Temperature,Humidity,whiteLight,irLight
hc4,2018-06-27 09:11:05,1530105065.6702044,29.3,48.1,,
hc4,2018-06-27 09:11:20,1530105080.0176911,29.3,48.2,,
hc4,2018-06-27 09:12:06,1530105126.2641997,29.3,48.2,,
hc4,2018-06-27 09:12:20,1530105140.611144,29.3,48.1,,
hc4,2018-06-27 09:13:06,1530105186.8620076,29.3,48.0,,
hc4,2018-06-27 09:13:21,1530105201.2063458,29.3,48.1,,
hc4,2018-06-27 09:14:07,1530105247.4548569,29.3,48.0,,
hc4,2018-06-27 09:14:21,1530105261.7997692,29.3,48.0,,
hc4,2018-06-27 09:15:08,1530105308.0523582,29.3,48.1,,
hc4,2018-06-27 09:15:22,1530105322.396857,29.3,48.2,,
hc4,2018-06-27 09:16:08,1530105368.6448607,29.3,48.1,,
hc4,2018-06-27 09:16:40,1530105400.849429,29.3,48.1,,
hc4,2018-06-27 09:17:11,1530105431.7696898,29.3,48.1,,
hc4,2018-06-27 09:17:46,1530105466.5273829,29.4,48.2,,
hc4,2018-06-27 09:18:12,1530105492.3674552,29.3,48.1,,
hc4,2018-06-27 09:18:47,1530105527.120619,29.3,48.1,,
hc4,2018-06-27 09:19:12,1530105552.9603355,29.3,48.1,,
hc4,2018-06-27 09:19:47,1530105587.717678,29.3,48.1,,
hc4,2018-06-27 09:20:13,1530105613.5568225,29.3,48.1,,
hc4,2018-06-27 09:20:55,1530105655.9570866,29.3,48.1,,
hc4,2018-06-27 09:21:16,1530105676.6773274,29.3,48.1,,
hc4,2018-06-27 09:21:56,1530105716.553939,29.3,48.2,,
hc4,2018-06-27 09:22:17,1530105737.2709835,29.3,48.3,,
hc4,2018-06-27 09:22:57,1530105777.1528256,29.3,48.3,,
hc4,2018-06-27 09:23:17,1530105797.8649614,29.3,48.3,,
hc4,2018-06-27 09:23:57,1530105837.8463862,29.3,48.2,,
hc4,2018-06-27 09:24:18,1530105858.458196,29.3,48.2,,
hc4,2018-06-27 09:25:01,1530105901.0234804,29.3,48.2,,
hc4,2018-06-27 09:25:19,1530105919.053333,29.3,48.2,,
